 Rank                     Fighter Score
    1           Georges St-Pierre  1244
    2                   Jon Jones  1244
    3         Khabib Nurmagomedov  1191
    4               Tony Ferguson  1188
    5                Kamaru Usman  1171
    6                Amanda Nunes  1165
    7            Charles Oliveira  1163
    8                Max Holloway  1163
    9              Dustin Poirier  1162
   10             Israel Adesanya  1152
   11          Demetrious Johnson  1147
   12                Stipe Miocic  1147
   13             Glover Teixeira  1145
   14                  Ryan Bader  1143
   15              Daniel Cormier  1142
   16              Conor McGregor  1140
   17                Henry Cejudo  1138
   18              Gegard Mousasi  1135
   19               Gilbert Burns  1133
   20       Alexander Volkanovski  1133
   21             Francis Ngannou  1131
   22                Leon Edwards  1128
   23                Royce Gracie  1127
   24                   Jon Fitch  1127
   25            Joseph Benavidez  1127
   26        Santiago Ponzinibbio  1126
   27          Francisco Trinaldo  1125
   28               Derrick Lewis  1125
   29              Cain Velasquez  1124
   30               Frankie Edgar  1121
   31                 Demian Maia  1121
   32            Robert Whittaker  1121
   33             Colby Covington  1118
   34              Beneil Dariush  1116
   35                  Neil Magny  1115
   36            Benson Henderson  1113
   37               Thiago Santos  1112
   38                Arnold Allen  1112
   39                    Don Frye  1111
   40               Chris Weidman  1110
   41               Vicente Luque  1110
   42           Junior dos Santos  1109
   43             Rustam Khabilov  1109
   44                 Matt Hughes  1108
   45             Anthony Johnson  1108
   46               Dong Hyun Kim  1108
   47            Rafael dos Anjos  1108
   48           Aljamain Sterling  1108
   49             Islam Makhachev  1108
   50               Lyoto Machida  1104
   51              Yair Rodríguez  1104
   52                John Lineker  1103
   53              Curtis Blaydes  1102
   54              T.J. Dillashaw  1101
   55                  Dan Hooker  1100
   56               Randy Couture  1099
   57               Tyron Woodley  1099
   58              Michael Chiesa  1099
   59             Jéssica Andrade  1099
   60       Carlos Diego Ferreira  1099
   61               Derek Brunson  1098
   62        Valentina Shevchenko  1098
   63         Deiveson Figueiredo  1097
   64                   José Aldo  1095
   65             Michel Prazeres  1095
   66            Alistair Overeem  1092
   67                Brian Ortega  1092
   68              Omari Akhmedov  1091
   69             Leonardo Santos  1091
   70             Michael Bisping  1090
   71            Stephen Thompson  1090
   72             Krzysztof Jotko  1090
   73              Tatiana Suarez  1090
   74              Justin Gaethje  1090
   75       Zabit Magomedsharipov  1090
   76               Chuck Liddell  1089
   77   Elizeu Zaleski dos Santos  1089
   78              Anderson Silva  1088
   79                Li Jingliang  1088
   80             Kelvin Gastelum  1087
   81               Vitor Belfort  1086
   82                   Nate Diaz  1086
   83              Donald Cerrone  1086
   84              Jorge Masvidal  1086
   85               Rich Franklin  1085
   86                   Kevin Lee  1085
   87               Kenny Florian  1084
   88             Kyoji Horiguchi  1084
   89              Dominick Reyes  1084
   90                 Zhang Weili  1084
   91                 Yoel Romero  1083
   92               Marlon Moraes  1083
   93                Chael Sonnen  1082
   94                 Paulo Costa  1082
   95              Cory Sandhagen  1082
   96                    Petr Yan  1082
   97               Robbie Lawler  1081
   98             Forrest Griffin  1081
   99                  Drew Dober  1081
  100                   Ryan Hall  1081
  101                     Dan Ige  1081
  102                Ryan LaFlare  1080
  103                Shane Burgos  1080
