Fighter;Result;Opponent;Method;Date;Fight Number
Gilbert Burns;def.;Tyron Woodley;Decision;May 30, 2020;11
Augusto Sakai;def.;Blagoy Ivanov;Decision;May 30, 2020;10
Billy Quarantillo;def.;Spike Carlyle;Decision;May 30, 2020;9
Roosevelt Roberts;def.;Brok Weaver;Submission;May 30, 2020;8
Mackenzie Dern;def.;Hannah Cifers;Submission;May 30, 2020;7
Katlyn Chookagian;def.;Antonina Shevchenko;Decision;May 30, 2020;6
Daniel Rodriguez;def.;Gabriel Green;Decision;May 30, 2020;5
Jamahal Hill;def.;Klidson Abreu;TKO;May 30, 2020;4
Brandon Royval;def.;Tim Elliott;Submission;May 30, 2020;3
Casey Kenney;def.;Louis Smolka;Submission;May 30, 2020;2
Chris Gutiérrez;def.;Vince Morales;TKO;May 30, 2020;1
Alistair Overeem;def.;Walt Harris;TKO;May 16, 2020;11
Cláudia Gadelha;def.;Angela Hill;Decision;May 16, 2020;10
Dan Ige;def.;Edson Barboza;Decision;May 16, 2020;9
Krzysztof Jotko;def.;Eryk Anders;Decision;May 16, 2020;8
Song Yadong;def.;Marlon Vera;Decision;May 16, 2020;7
Miguel Baeza;def.;Matt Brown;TKO;May 16, 2020;6
Kevin Holland;def.;Anthony Hernandez;TKO;May 16, 2020;5
Giga Chikadze;def.;Irwin Rivera;Decision;May 16, 2020;4
Nate Landwehr;def.;Darren Elkins;Decision;May 16, 2020;3
Cortney Casey;def.;Mara Romero Borella;Submission;May 16, 2020;2
Rodrigo Nascimento;def.;Don’Tale Mayes;Submission;May 16, 2020;1
Glover Teixeira;def.;Anthony Smith;TKO;May 13, 2020;10
Ben Rothwell;def.;Ovince Saint Preux;Decision;May 13, 2020;9
Drew Dober;def.;Alexander Hernandez;TKO;May 13, 2020;8
Ricky Simon;def.;Ray Borg;Decision;May 13, 2020;7
Andrei Arlovski;def.;Philipe Lins;Decision;May 13, 2020;6
Thiago Moisés;def.;Michael Johnson;Submission;May 13, 2020;5
Sijara Eubanks;def.;Sarah Moras;Decision;May 13, 2020;4
Omar Morales;def.;Gabriel Benítez;Decision;May 13, 2020;3
Brian Kelleher;def.;Hunter Azure;KO;May 13, 2020;2
Chase Sherman;def.;Isaac Villanueva;TKO;May 13, 2020;1
Justin Gaethje;def.;Tony Ferguson;TKO;May 9, 2020;11
Henry Cejudo;def.;Dominick Cruz;TKO;May 9, 2020;10
Francis Ngannou;def.;Jairzinho Rozenstruik;KO;May 9, 2020;9
Calvin Kattar;def.;Jeremy Stephens;TKO;May 9, 2020;8
Greg Hardy;def.;Yorgan de Castro;Decision;May 9, 2020;7
Anthony Pettis;def.;Donald Cerrone;Decision;May 9, 2020;6
Aleksei Oleinik;def.;Fabrício Werdum;Decision;May 9, 2020;5
Carla Esparza;def.;Michelle Waterson;Decision;May 9, 2020;4
Vicente Luque;def.;Niko Price;TKO;May 9, 2020;3
Bryce Mitchell;def.;Charles Rosa;Decision;May 9, 2020;2
Ryan Spann;def.;Sam Alvey;Decision;May 9, 2020;1
Glover Teixeira;def.;Anthony Smith;TKO;May 13, 2020;10
Ben Rothwell;def.;Ovince Saint Preux;Decision;May 13, 2020;9
Drew Dober;def.;Alexander Hernandez;TKO;May 13, 2020;8
Ricky Simon;def.;Ray Borg;Decision;May 13, 2020;7
Andrei Arlovski;def.;Philipe Lins;Decision;May 13, 2020;6
Thiago Moisés;def.;Michael Johnson;Submission;May 13, 2020;5
Sijara Eubanks;def.;Sarah Moras;Decision;May 13, 2020;4
Omar Morales;def.;Gabriel Benítez;Decision;May 13, 2020;3
Brian Kelleher;def.;Hunter Azure;KO;May 13, 2020;2
Chase Sherman;def.;Isaac Villanueva;TKO;May 13, 2020;1
Charles Oliveira;def.;Kevin Lee;Submission;March 14, 2020;12
