Fighter;Result;Opponent;Date;Method;Fight Number
Kamaru Usman;def.;Rafael dos Anjos;November 30, 2018;Decision;13
Edmen Shahbazyan;def.;Darren Stewart;November 30, 2018;Decision;9
Antonina Shevchenko;def.;Ji Yeon Kim;November 30, 2018;Decision;8
Kevin Aguilar;def.;Rick Glenn;November 30, 2018;Decision;7
Leah Letson;def.;Julija Stoliarenko;November 30, 2018;Decision;4
Israel Adesanya;def.;Brad Tavares;July 6, 2018;Decision;12
Michael Trizano;def.;Joe Giannetti;July 6, 2018;Decision;11
Brad Katona;def.;Jay Cucciniello;July 6, 2018;Decision;10
Alex Caceres;def.;Martín Bravo;July 6, 2018;Decision;9
Alessio Di Chirico;def.;Julian Marquez;July 6, 2018;Decision;7
John Gunther;def.;Allan Zuñiga;July 6, 2018;Decision;4
Bryce Mitchell;def.;Tyler Diamond;July 6, 2018;Decision;3
Steven Peterson;def.;Matt Bessette;July 6, 2018;Decision;2
Nicco Montaño;def.;Roxanne Modafferi;December 1, 2017;Decision;11
Sean O'Malley;def.;Terrion Ware;December 1, 2017;Decision;10
Lauren Murphy;def.;Barb Honchak;December 1, 2017;Decision;9
Drakkar Klose;def.;Marc Diakiese;July 7, 2017;Decision;9
Brad Tavares;def.;Elias Theodorou;July 7, 2017;Decision;7
Jordan Johnson;def.;Marcel Fortuna;July 7, 2017;Decision;6
Angela Hill;def.;Ashley Yoder;July 7, 2017;Decision;5
James Krause;def.;Tom Gallicchio;July 7, 2017;Decision;4
C.B. Dollaway;def.;Ed Herman;July 7, 2017;Decision;3
Gray Maynard;def.;Teruto Ishihara;July 7, 2017;Decision;1
Demetrious Johnson;def.;Tim Elliott;December 3, 2016;Decision;12
Joseph Benavidez;def.;Henry Cejudo;December 3, 2016;Decision;11
Jared Cannonier;def.;Ion Cuțelaba;December 3, 2016;Decision;9
Brandon Moreno;def.;Ryan Benoit;December 3, 2016;Decision;7
Ryan Hall;def.;Gray Maynard;December 3, 2016;Decision;6
Dong Hyun Ma;def.;Brendan O'Reilly;December 3, 2016;Decision;4
Jamie Moyle;def.;Kailin Curran;December 3, 2016;Decision;3
Devin Clark;def.;Josh Stansbury;December 3, 2016;Decision;1
Joanna Jędrzejczyk;def.;Cláudia Gadelha;July 8, 2016;Decision;12
Andrew Sanchez;def.;Khalil Rountree;July 8, 2016;Decision;11
Will Brooks;def.;Ross Pearson;July 8, 2016;Decision;9
Gray Maynard;def.;Fernando Bruno;July 8, 2016;Decision;6
Matheus Nicolau;def.;John Moraga;July 8, 2016;Decision;5
Josh Stansbury;def.;Cory Hendricks;July 8, 2016;Decision;4
Cezar Ferreira;def.;Anthony Smith;July 8, 2016;Decision;3
Michael Graves;def.;Vicente Luque;July 12, 2015;Decision;9
Jerrod Sanders;def.;Russell Doane;July 12, 2015;Decision;4
Trevor Smith;def.;Dan Miller;July 12, 2015;Decision;3
George Sullivan;def.;Dominic Waters;July 12, 2015;Decision;2
Charles Oliveira;def.;Jeremy Stephens;December 12, 2014;Decision;10
Jessica Penne;def.;Randa Markos;December 12, 2014;Decision;7
Heather Jo Clark;def.;Bec Rawlings;December 12, 2014;Decision;5
Joanne Calderwood;def.;Seo Hee Ham;December 12, 2014;Decision;4
Tecia Torres;def.;Angela Magaña;December 12, 2014;Decision;3
Angela Hill;def.;Emily Kagan;December 12, 2014;Decision;1
Ryan Bader;def.;Ovince Saint Preux;August 16, 2014;Decision;10
Travis Fulton;def.;David Dodd;July 16, 1999;Decision;1
Caol Uno;def.;Yves Edwards;May 10, 2002;Decision;4
Robbie Lawler;def.;Aaron Riley;May 10, 2002;Decision;1
Dennis Siver;def.;George Sotiropoulos;27 February 2011;Decision;8
Brian Ebersole;def.;Chris Lytle;27 February 2011;Decision;7
Ross Pearson;def.;Spencer Fisher;27 February 2011;Decision;5
Nick Ring;def.;Riki Fukuda;27 February 2011;Decision;3
Joanna Jędrzejczyk;def.;Cláudia Gadelha;July 8, 2016;Decision;12
Andrew Sanchez;def.;Khalil Rountree;July 8, 2016;Decision;11
Will Brooks;def.;Ross Pearson;July 8, 2016;Decision;9
Gray Maynard;def.;Fernando Bruno;July 8, 2016;Decision;6
Matheus Nicolau;def.;John Moraga;July 8, 2016;Decision;5
Josh Stansbury;def.;Cory Hendricks;July 8, 2016;Decision;4
Cezar Ferreira;def.;Anthony Smith;July 8, 2016;Decision;3
Sara McMann;def.;Lauren Murphy;August 16, 2014;Decision;3
Godofredo Pepey;def.;Milton Vieira;January 19, 2013;Decision;7
Chad Laprise;def.;Olivier Aubin-Mercier;April 16, 2014;Decision;10
Mark Bocek;def.;Mike De La Torre;April 16, 2014;Decision;4
Robbie Peralta;def.;Rony Jason;May 31, 2014;Decision;8
Kelvin Gastelum;def.;Uriah Hall;April 13, 2013;Decision;11
C.B. Dollaway;def.;Daniel Sarafian;January 19, 2013;Decision;10
Tim Boetsch;def.;Hector Lombard;July 21, 2012;Decision;10
James Head;def.;Brian Ebersole;July 21, 2012;Decision;8
Anton Kuivanen;def.;Mitch Clarke;July 21, 2012;Decision;1
Tom Niinimäki;def.;Rani Yahya;November 30, 2013;Decision;4
Kevin Randleman;def.;Pedro Rizzo;June 9, 2000;Decision;8
Tyrone Roberts;def.;David Dodd;June 9, 2000;Decision;7
Jens Pulver;def.;Joao Roque;June 9, 2000;Decision;3
Shonie Carter;def.;Adrian Serrano;June 9, 2000;Decision;1
Drew Fickett;def.;Keita Nakamura;April 5, 2007;Decision;5
Jussier Formiga;def.;Zach Makovsky;August 16, 2014;Decision;4
Tom Watson;def.;Sam Alvey;August 16, 2014;Decision;2
Jared Rosholt;def.;Walt Harris;November 30, 2013;Decision;3
Maximo Blanco;def.;Sam Sicilia;April 13, 2013;Decision;2
Ronny Markes;def.;Andrew Craig;January 19, 2013;Decision;6
Nick Ring;def.;Court McGee;July 21, 2012;Decision;6
Patrick Côté;def.;Kyle Noke;April 16, 2014;Decision;12
Luke Barnatt;def.;Collin Hart;April 13, 2013;Decision;6
George Roop;def.;Dustin Kimura;April 16, 2014;Decision;5
Tim Elliott;def.;Jared Papazian;December 15, 2012;Decision;1
Antônio Carlos Júnior;def.;Vitor Miranda;May 31, 2014;Decision;11
Gasan Umalatov;def.;Paulo Thiago;May 31, 2014;Decision;5
Raquel Pennington;def.;Roxanne Modafferi;November 30, 2013;Decision;6
Kuniyoshi Hironaka;def.;Forrest Petz;April 5, 2007;Decision;3
Colton Smith;def.;Mike Ricci;December 15, 2012;Decision;10
Frankie Saenz;def.;Nolan Ticman;August 16, 2014;Decision;1
Demian Maia;def.;Alexander Yakovlev;May 31, 2014;Decision;9
